,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive,lien_coord
0,Casino,01,Supermarché Casino Divonne-Les-Bains,Supermarche_Casino_Divonne-Les-Bains,01143 DIVONNE LES BAINS,250 252 AVENUE DE GENEVE 01143 DIVONNE LES BAINS,46.353703,6.1394783,http://www.casino.fr/ecommerce/GC-catalog/fr/WE01763/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=46.353703%2C6.1394783&hl=fr
1,Casino,03,Supermarché Casino Domerat,Supermarche_Casino_Domerat,03101 DOMERAT,RUE ANDRE MESSAGER 03101 DOMERAT,46.3613734,2.5341775,http://www.casino.fr/ecommerce/GC-catalog/fr/WE03034/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=46.3613734%2C2.5341775&hl=fr
2,Casino,03,Supermarché Casino Vichy,Supermarche_Casino_Vichy,03310 VICHY,27 RUE DE L HOTEL DES POSTES 03310 VICHY,46.125346,3.4222104,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXGTJ/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=46.125346%2C3.4222104&hl=fr
3,Casino,04,Supermarché Casino Chateau-Arnoux,Supermarche_Casino_Chateau-Arnoux,04049 CHATEAU ARNOUX ST AUBAN,AVENUE DU JAS 04049 CHATEAU ARNOUX ST AUBAN,44.0813111,6.0023257,http://www.casino.fr/ecommerce/GC-catalog/fr/WE04603/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=44.0813111%2C6.0023257&hl=fr
8,Casino,06,Supermarché Casino Juan-Les-Pins,Supermarche_Casino_Juan-Les-Pins,06924 ANTIBES,138 BD DU PRESIDENT WILSON 06924 ANTIBES,43.56921459,7.11254255,http://www.casino.fr/ecommerce/GC-catalog/fr/WE06128/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.56921459%2C7.11254255&hl=fr
9,Casino,06,Supermarché Casino Cros-de-Cagnes,Supermarche_Casino_Cros-de-Cagnes,06922 CAGNES SUR MER,25 AVENUE DU GENERAL LECLERC 06922 CAGNES SUR MER,43.65888639,7.16274888,http://www.casino.fr/ecommerce/GC-catalog/fr/WE06668/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.65888639%2C7.16274888&hl=fr
12,Casino,06,Supermarché Casino Grasse,Supermarche_Casino_Grasse,06069 GRASSE,CHEMIN DES CHENES 06069 GRASSE,43.64156028,6.91366799,http://www.casino.fr/ecommerce/GC-catalog/fr/WE06897/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.64156028%2C6.91366799&hl=fr
13,Casino,06,Supermarché Casino Nice Falicon,Supermarche_Casino_Nice_Falicon,06088 NICE,10 PLACE FONTAINE DU TEMPLE 06088 NICE,43.72573532,7.25655096,http://www.casino.fr/ecommerce/GC-catalog/fr/WE06950/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.72573532%2C7.25655096&hl=fr
14,Casino,06,Supermarché Casino NICE Ferber,Supermarche_Casino_NICE_Ferber,06088 NICE,2 BOULEVARD RENE CASSIN 06088 NICE,43.675163,7.22618,http://www.casino.fr/ecommerce/GC-catalog/fr/WE06998/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.675163%2C7.22618&hl=fr
15,Casino,06,Supermarché Casino Nice Magnan,Supermarche_Casino_Nice_Magnan,06088 NICE,2 AVENUE GLORIA 06088 NICE,43.6918652,7.24440381,http://www.casino.fr/ecommerce/GC-catalog/fr/WE06924/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.6918652%2C7.24440381&hl=fr
16,Casino,06,Supermarché Casino NICE MONTEL,Supermarche_Casino_NICE_MONTEL,06088 NICE,60 BOULEVARD PAUL MONTEL 06088 NICE,43.672446,7.2075937,http://www.casino.fr/ecommerce/GC-catalog/fr/WE06108/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.672446%2C7.2075937&hl=fr
18,Casino,06,Supermarché Casino Roquebrune Cap Martin,Supermarche_Casino_Roquebrune_Cap_Martin,06104 ROQUEBRUNE CAP MARTIN,6 AVENUE DE FRANCE 06104 ROQUEBRUNE CAP MARTIN,43.7519365,7.4370876,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXGSK/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.7519365%2C7.4370876&hl=fr
21,Casino,06,Supermarché Casino Vence,Supermarche_Casino_Vence,06157 VENCE,44 AVENUE MARECHAL FOCH 06157 VENCE,43.72393961,7.10549239,http://www.casino.fr/ecommerce/GC-catalog/fr/WE06153/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.72393961%2C7.10549239&hl=fr
23,Casino,09,Supermarché Casino Foix,Supermarche_Casino_Foix,09000 FOIX,PLACE DU 59EME RI 09000 FOIX,42.96199893,1.60792628,http://www.casino.fr/ecommerce/GC-catalog/fr/WE09765/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=42.96199893%2C1.60792628&hl=fr
27,Casino,12,Supermarché Casino DECAZEVILLE,Supermarche_Casino_DECAZEVILLE,12089 DECAZEVILLE,AVENUE PAUL RAMADIER 12089 DECAZEVILLE,44.554939,2.262916,http://www.casino.fr/ecommerce/GC-catalog/fr/WE12851/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=44.554939%2C2.262916&hl=fr
28,Casino,12,Supermarché Casino Millau Capelle,Supermarche_Casino_Millau_Capelle,12145 MILLAU,PLACE DE LA CAPELLE 12145 MILLAU,44.1002563,3.0810838,http://www.casino.fr/ecommerce/GC-catalog/fr/WE12001/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=44.1002563%2C3.0810838&hl=fr
29,Casino,13,Supermarché Casino AIX-EN-PROVENCE Avenue d'Avignon,Supermarche_Casino_AIX-EN-PROVENCE_Avenue_d_Avignon,13001 AIX EN PROVENCE,1 AV MAL LATTRE TASSIGNY 13001 AIX EN PROVENCE,43.530071,5.438885,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13959/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.530071%2C5.438885&hl=fr
30,Casino,13,Supermarché Casino AIX-EN-PROVENCE Est,Supermarche_Casino_AIX-EN-PROVENCE_Est,13001 AIX EN PROVENCE,AVENUE DES INFIRMERIES 13001 AIX EN PROVENCE,43.5255208,5.4350618,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13625/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.5255208%2C5.4350618&hl=fr
31,Casino,13,Supermarché Casino AUBAGNE Pin Vert,Supermarche_Casino_AUBAGNE_Pin_Vert,13005 AUBAGNE,AVENUE ROGER SALENGRO 13005 AUBAGNE,43.3014765,5.5704024,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13627/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.3014765%2C5.5704024&hl=fr
32,Casino,13,Supermarché Casino Auriol,Supermarche_Casino_Auriol,13007 AURIOL,QUARTIER LA GLACIERE 13007 AURIOL,43.36900541,5.62243937,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13632/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.36900541%2C5.62243937&hl=fr
33,Casino,13,Supermarché Casino Eguilles,Supermarche_Casino_Eguilles,13032 EGUILLES,820 ROUTE DE BERRE 13032 EGUILLES,43.5438228,5.360644,http://www.casino.fr/ecommerce/GC-catalog/fr/WE01351/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.5438228%2C5.360644&hl=fr
34,Casino,13,Supermarché Casino La Destrousse,Supermarche_Casino_La_Destrousse,13112 LA DESTROUSSE,RN 96 SOUQUE NEGRE 13112 LA DESTROUSSE,43.37884062,5.59861354,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13621/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.37884062%2C5.59861354&hl=fr
35,Casino,13,Supermarché Casino Lambesc,Supermarche_Casino_Lambesc,13050 LAMBESC,2 AVENUE JEAN MONNET 13050 LAMBESC,43.66347984,5.24953636,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13255/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.66347984%2C5.24953636&hl=fr
36,Casino,13,Casino Drive AIX-EN-PROVENCE Palette,Casino_Drive_AIX-EN-PROVENCE_Palette,13109 LE THOLONET,203 AVENUE PAUL JULIEN 13109 LE THOLONET,43.50912,5.491451,http://www.casino.fr/casinoexpress_web/GC-catalog/fr/WE13143/?moderetrait=Z5,https://maps.google.com/maps?dirflg=d&daddr=43.50912%2C5.491451&hl=fr
37,Casino,13,Supermarché Casino MARSEILLE Baille,Supermarche_Casino_MARSEILLE_Baille,13205 MARSEILLE,22 BOULEVARD JEAN MOULIN 13205 MARSEILLE,43.29076,5.399276,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13985/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.29076%2C5.399276&hl=fr
39,Casino,13,Supermarché Casino Marseille Catalans,Supermarche_Casino_Marseille_Catalans,13207 MARSEILLE,16 RUE CESAR ALEMAN 13207 MARSEILLE,43.2903155,5.35817823,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13636/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.2903155%2C5.35817823&hl=fr
40,Casino,13,Supermarché Casino Marseille Foch,Supermarche_Casino_Marseille_Foch,13204 MARSEILLE,4 AVENUE MARECHAL FOCH 13204 MARSEILLE,43.30207379,5.39648605,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13649/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.30207379%2C5.39648605&hl=fr
41,Casino,13,Supermarché Casino Marseille Parc Sevigne,Supermarche_Casino_Marseille_Parc_Sevigne,13209 MARSEILLE,19 RUE MIGNARD 13209 MARSEILLE,43.26244685,5.40271677,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13997/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.26244685%2C5.40271677&hl=fr
42,Casino,13,Supermarché Casino Marseille Prado Plage,Supermarche_Casino_Marseille_Prado_Plage,13208 MARSEILLE,595 AVENUE DU PRADO 13208 MARSEILLE,43.2621042,5.3732646,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13983/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.2621042%2C5.3732646&hl=fr
43,Casino,13,Supermarché Casino Marseille Saint Gabriel,Supermarche_Casino_Marseille_Saint_Gabriel,13214 MARSEILLE,100 BOULEVARD CHARLES MORETTI 13214 MARSEILLE,43.32361693,5.38836027,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13823/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.32361693%2C5.38836027&hl=fr
44,Casino,13,Supermarché Casino Marseille Saint Giniez,Supermarche_Casino_Marseille_Saint_Giniez,13208 MARSEILLE,39 AVENUE DE MAZARGUES 13208 MARSEILLE,43.26792203,5.38916563,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13653/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.26792203%2C5.38916563&hl=fr
45,Casino,13,Supermarché Casino Marseille Valdonne,Supermarche_Casino_Marseille_Valdonne,13213 MARSEILLE,55 AVENUE DE LA ROSE 13213 MARSEILLE,43.3255774,5.41939,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13745/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.3255774%2C5.41939&hl=fr
46,Casino,13,Supermarché Casino Port Saint Louis,Supermarche_Casino_Port_Saint_Louis,13078 PORT ST LOUIS DU RHONE,2 ESPLANADE DE LA PAIX 13078 PORT ST LOUIS DU RHONE,43.39178742,4.80391299,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13651/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.39178742%2C4.80391299&hl=fr
48,Casino,13,Supermarché Casino Trets,Supermarche_Casino_Trets,13110 TRETS,CHEMIN DU LOUP 13110 TRETS,43.45257871,5.67406806,http://www.casino.fr/ecommerce/GC-catalog/fr/WE13640/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.45257871%2C5.67406806&hl=fr
49,Casino,14,Supermarché Casino SAINT-PIERRE-SUR-DIVES,Supermarche_Casino_SAINT-PIERRE-SUR-DIVES,14654 ST PIERRE EN AUGE,RUE DE LISIEUX 14654 ST PIERRE EN AUGE,49.024137,-0.026311,http://www.casino.fr/ecommerce/GC-catalog/fr/WE14008/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=49.024137%2C-0.026311&hl=fr
51,Casino,16,Supermarché Casino La Rochefoucauld,Supermarche_Casino_La_Rochefoucauld,16281 ROCHEFOUCAULD EN ANGOUMOIS,ROUTE DE MANSLE RIVIERE 16281 ROCHEFOUCAULD EN ANGOUMOIS,45.7405,0.3856,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXGSU/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=45.7405%2C0.3856&hl=fr
55,Casino,19,Supermarché Casino Meymac,Supermarche_Casino_Meymac,19250 MEYMAC,ROUTE DE TULLE 19250 MEYMAC,45.52638065,2.13661735,http://www.casino.fr/ecommerce/GC-catalog/fr/WE19265/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=45.52638065%2C2.13661735&hl=fr
56,Casino,21,Géant Casino DIJON Chenove,Geant_Casino_DIJON_Chenove,21166 CHENOVE,58 RUE DE LONGVIC 21166 CHENOVE,47.28288503,5.02198248,http://www.casino.fr/ecommerce/GC-catalog/fr/WE21834/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=47.28288503%2C5.02198248&hl=fr
57,Casino,21,Supermarché Casino Dijon Rue D' Auxonne,Supermarche_Casino_Dijon_Rue_D__Auxonne,21231 DIJON,30 32 RUE D AUXONNE 21231 DIJON,47.31493287,5.04659992,http://www.casino.fr/ecommerce/GC-catalog/fr/WE21561/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=47.31493287%2C5.04659992&hl=fr
58,Casino,21,Supermarché Casino Quetigny,Supermarche_Casino_Quetigny,21800 QUETIGNY,10 PLACE CENTRALE ROGER REMOND 21800 QUETIGNY,47.31667,5.11667,http://www.casino.fr/ecommerce/GC-catalog/fr/WE21033/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=47.31667%2C5.11667&hl=fr
59,Casino,21,Supermarché Casino Saint-Jean-De-Losne,Supermarche_Casino_Saint-Jean-De-Losne,21554 ST JEAN DE LOSNE,ALL BASTIONS CHARMILLES 21554 ST JEAN DE LOSNE,47.10356765,5.26291768,http://www.casino.fr/ecommerce/GC-catalog/fr/WE21557/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=47.10356765%2C5.26291768&hl=fr
60,Casino,22,Supermarché Casino LANNION,Supermarche_Casino_LANNION,22113 LANNION,ROUTE DE PERROS GUIREC 22113 LANNION,48.7487604,-3.4593392,http://www.casino.fr/ecommerce/GC-catalog/fr/WE22300/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=48.7487604%2C-3.4593392&hl=fr
61,Casino,22,Supermarché Casino SAINT-BRIEUC,Supermarche_Casino_SAINT-BRIEUC,22278 ST BRIEUC,3 ROND POINT PABLO NERUDA 22278 ST BRIEUC,48.52015153,-2.7907963,http://www.casino.fr/ecommerce/GC-catalog/fr/WE22304/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=48.52015153%2C-2.7907963&hl=fr
64,Casino,25,Supermarché Casino Valentigney,Supermarche_Casino_Valentigney,25580 VALENTIGNEY,20 GRANDE RUE 25580 VALENTIGNEY,47.462922,6.835999,http://www.casino.fr/ecommerce/GC-catalog/fr/WE25394/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=47.462922%2C6.835999&hl=fr
65,Casino,26,Supermarché Casino Portes-Les-Valence,Supermarche_Casino_Portes-Les-Valence,26252 PORTES LES VALENCE,PLACE DU 8 MAI 1945 26252 PORTES LES VALENCE,44.87567,4.878316,http://www.casino.fr/ecommerce/GC-catalog/fr/WE26231/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=44.87567%2C4.878316&hl=fr
66,Casino,26,Supermarché Casino Valence Nord,Supermarche_Casino_Valence_Nord,26362 VALENCE,ROUTE DE ROMANS 26362 VALENCE,44.935174,4.909078,http://www.casino.fr/ecommerce/GC-catalog/fr/WE26315/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=44.935174%2C4.909078&hl=fr
