,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive
0,Intermarche,01,Hyper Amberieu en Bugey,Hyper_Amberieu_en_Bugey,01500 Amberieu en Bugey,Centre commercial de l'aviation-Les terreaux-01500 Amberieu en Bugey,45.971973,5.337993,https://www.intermarche.com/magasins/10498/amberieu-en-bugey-01500/infos-pratiques
1,Intermarche,01,Super Béon,Super_Beon,01350 Béon,2 Rue des Roselières-01350 Béon,45.847511,5.767197,https://www.intermarche.com/magasins/05667/beon-01350/infos-pratiques
2,Intermarche,01,Super Bourg en Bresse,Super_Bourg_en_Bresse,01000 Bourg en Bresse,56 rue du Stand-01000 Bourg en Bresse,46.19536,5.229369,https://www.intermarche.com/magasins/10525/bourg-en-bresse-01000/infos-pratiques
3,Intermarche,01,Super Briord,Super_Briord,01470 Briord,340 Route Du Pont-01470 Briord,45.787439,5.45304,https://www.intermarche.com/magasins/06877/briord-01470/infos-pratiques
4,Intermarche,01,Super Châtillon Sur Chalaronne,Super_Chatillon_Sur_Chalaronne,01400 Châtillon Sur Chalaronne,452 Avenue Jean Jaurès-01400 Châtillon Sur Chalaronne,46.115803,4.964898,https://www.intermarche.com/magasins/10242/chatillon-sur-chalaronne-01400/infos-pratiques
5,Intermarche,01,Super Chazey-Bons,Super_Chazey-Bons,01300 Chazey-Bons,Rn 504-ZI de Penaye-01300 Chazey-Bons,45.777461,5.689545,https://www.intermarche.com/magasins/10113/chazey-bons-01300/infos-pratiques
6,Intermarche,01,Contact Feillens,Contact_Feillens,01570 Feillens,45 rue de Bad Waldsee-01570 Feillens,46.334154,4.88772,https://www.intermarche.com/magasins/01590/feillens-01570/infos-pratiques
7,Intermarche,01,Super Gex,Super_Gex,01170 Gex,61 rue des transporteurs-Route de Divonne les Bains-01170 Gex,46.337855,6.075814,https://www.intermarche.com/magasins/10946/gex-01170/infos-pratiques
8,Intermarche,01,Super Jayat,Super_Jayat,01340 Jayat,Prairie de Cezille-01340 Jayat,46.356731,5.123991,https://www.intermarche.com/magasins/10123/jayat-01340/infos-pratiques
9,Intermarche,01,Super La Boisse,Super_La_Boisse,01120 La Boisse,168 route de Thil-01120 La Boisse,45.84685,5.047775,https://www.intermarche.com/magasins/10453/la-boisse-01120/infos-pratiques
