,nom_drive,adresse,lien_drive,latitude,longitude
0,Hyper Amberieu en Bugey,"Centre commercial de l'aviation
-
Les terreaux
-
01500 Amberieu en Bugey",https://www.intermarche.com/magasins/10498/amberieu-en-bugey-01500/infos-pratiques,45.971973,5.337993
1,Super Béon,"2 Rue des Roselières
-
01350 Béon",https://www.intermarche.com/magasins/05667/beon-01350/infos-pratiques,45.847511,5.767197
2,Super Bourg en Bresse,"56 rue du Stand
-
01000 Bourg en Bresse",https://www.intermarche.com/magasins/10525/bourg-en-bresse-01000/infos-pratiques,46.19536,5.229369
3,Super Briord,"340 Route Du Pont
-
01470 Briord",https://www.intermarche.com/magasins/06877/briord-01470/infos-pratiques,45.787439,5.45304
4,Super Châtillon Sur Chalaronne,"452 Avenue Jean Jaurès
-
01400 Châtillon Sur Chalaronne",https://www.intermarche.com/magasins/10242/chatillon-sur-chalaronne-01400/infos-pratiques,46.115803,4.964898
5,Super Chazey-Bons,"Rn 504
-
ZI de Penaye
-
01300 Chazey-Bons",https://www.intermarche.com/magasins/10113/chazey-bons-01300/infos-pratiques,45.777461,5.689545
6,Contact Feillens,"45 rue de Bad Waldsee
-
01570 Feillens",https://www.intermarche.com/magasins/01590/feillens-01570/infos-pratiques,46.334154,4.88772
7,Super Gex,"61 rue des transporteurs
-
Route de Divonne les Bains
-
01170 Gex",https://www.intermarche.com/magasins/10946/gex-01170/infos-pratiques,46.337855,6.075814
8,Super Jayat,"Prairie de Cezille
-
01340 Jayat",https://www.intermarche.com/magasins/10123/jayat-01340/infos-pratiques,46.356731,5.123991
9,Super La Boisse,"168 route de Thil
-
01120 La Boisse",https://www.intermarche.com/magasins/10453/la-boisse-01120/infos-pratiques,45.84685,5.047775
10,Contact Lavancia-Epercy,"ZAC sous la Combe
-
01590 Lavancia-Epercy",https://www.intermarche.com/magasins/06066/lavancia-epercy-01590/infos-pratiques,46.325609,5.671821
11,Super Meximieux,"Rue des Carronnières
-
Route de Chalamont
-
01800 Meximieux",https://www.intermarche.com/magasins/10184/meximieux-01800/infos-pratiques,45.914974,5.191716
12,Super Neuville-sur-Ain,"547 rue du Docteur Hubert
-
L'Ile d'en haut sur le port
-
01160 Neuville-sur-Ain",https://www.intermarche.com/magasins/50332/neuville-sur-ain-01160/infos-pratiques,46.074109,5.376391
13,Super Oyonnax,"74 rue Jules Michelet
-
01100 Oyonnax",https://www.intermarche.com/magasins/06909/oyonnax-01100/infos-pratiques,46.262456,5.646694
14,Super Peron,"ZA du Pré Munny
-
01630 Peron",https://www.intermarche.com/magasins/05421/peron-01630/infos-pratiques,46.184377,5.929023
15,Contact Polliat,"21 allée de L'osier
-
01310 Polliat",https://www.intermarche.com/magasins/07480/polliat-01310/infos-pratiques,46.247958,5.131541
16,Super Port,"Rue de l'Ancre
-
01460 Port",https://www.intermarche.com/magasins/10465/port-01460/infos-pratiques,46.166175,5.570261
17,Super Replonges,"223 Route de Bourg
-
01750 Replonges",https://www.intermarche.com/magasins/10418/replonges-01750/infos-pratiques,46.299111,4.880512
18,Super Saint André De Corcy,"354 Rue De L'industrie Zi De Sure
-
01390 Saint André De Corcy",https://www.intermarche.com/magasins/08104/saint-andre-de-corcy-01390/infos-pratiques,45.932834,4.959415
19,Super Saint Etienne du Bois,"40 chemin de la bergaderie
-
01370 Saint Etienne du Bois",https://www.intermarche.com/magasins/07939/saint-etienne-du-bois-01370/infos-pratiques,46.272516,5.284911
20,Super Saint-Genis Pouilly,"148 rue châlets
-
ZAC de l'Allondon
-
01630 Saint-Genis Pouilly",https://www.intermarche.com/magasins/10212/saint-genis-pouilly-01630/infos-pratiques,46.263818,6.02937
21,Contact Saint-Rambert-en-Bugey,"132 avenue de l'Europe
-
Immeuble Le Mont Blanc
-
01230 Saint-Rambert-en-Bugey",https://www.intermarche.com/magasins/03586/saint-rambert-en-bugey-01230/infos-pratiques,45.944439,5.43508
22,Contact Saint-Trivier-de-Courtes,"Route de Pont de Vaux
-
01560 Saint-Trivier-de-Courtes",https://www.intermarche.com/magasins/07319/saint-trivier-de-courtes-01560/infos-pratiques,46.457252,5.065568
23,Contact Servas,"Route de Lyon
-
ZA du Val Roman
-
01960 Servas",https://www.intermarche.com/magasins/08096/servas-01960/infos-pratiques,46.128527,5.162362
24,Contact Vonnas,"Rue des Grands Varays
-
01540 Vonnas",https://www.intermarche.com/magasins/08260/vonnas-01540/infos-pratiques,46.212005,4.993764
25,Super Ainay le Château,"Route de Moulins
-
03360 Ainay le Château",https://www.intermarche.com/magasins/50283/ainay-le-chateau-03360/infos-pratiques,46.705542,2.695148
26,Super Gannat,"18 avenue des Portes Occitanes
-
03800 Gannat",https://www.intermarche.com/magasins/08548/gannat-03800/infos-pratiques,46.078673,3.201353
27,Contact Huriel,"54 rue des Calaubys
-
03380 Huriel",https://www.intermarche.com/magasins/50364/huriel-03380/infos-pratiques,46.371858,2.468163
28,Super Lapalisse,"Avenue Jean Macé
-
03120 Lapalisse",https://www.intermarche.com/magasins/04704/lapalisse-03120/infos-pratiques,46.257145,3.621916
29,Super Le Mayet de Montagne,"29 Route des Ferrières
-
03250 Le Mayet de Montagne",https://www.intermarche.com/magasins/08147/le-mayet-de-montagne-03250/infos-pratiques,46.068086,3.663226
30,Super Malicorne,"25 Route de la Brande
-
03600 Malicorne",https://www.intermarche.com/magasins/08829/malicorne-03600/infos-pratiques,46.300124,2.736497
31,Super Montlucon,"Avenue Jules Guesde
-
Espace Jules Guesde
-
03100 Montlucon",https://www.intermarche.com/magasins/08349/montlucon-03100/infos-pratiques,46.34064,2.584856
32,Super Montluçon,"Rue Pierre Semard
-
Centre commercial des fours à chaux
-
03100 Montluçon",https://www.intermarche.com/magasins/08635/montlucon-03100/infos-pratiques,46.331779,2.601572
33,Super Moulins,"16 rue de Montilly
-
03000 Moulins",https://www.intermarche.com/magasins/01520/moulins-03000/infos-pratiques,46.562769,3.319307
34,Contact Neris les Bains,"Place du 8 Mai 1945
-
03310 Neris les Bains",https://www.intermarche.com/magasins/50310/neris-les-bains-03310/infos-pratiques,46.288348,2.661583
35,Contact Saint-Germain-des-Fosses,"Rue Pierre Semard
-
03260 Saint-Germain-des-Fosses",https://www.intermarche.com/magasins/01376/saint-germain-des-fosses-03260/infos-pratiques,46.20455,3.432429
36,Contact Souvigny,"Route De Cosne
-
03210 Souvigny",https://www.intermarche.com/magasins/50243/souvigny-03210/infos-pratiques,46.532917,3.18752
37,Super Vichy,"4 Rue Maréchal Lyautey
-
03200 Vichy",https://www.intermarche.com/magasins/09233/vichy-03200/infos-pratiques,46.120196,3.433163
38,Super Annonay,"Les six chemins, rue du Docteur Duret
-
07100 Annonay",https://www.intermarche.com/magasins/06861/annonay-07100/infos-pratiques,45.256915,4.671131
39,Hyper Aubenas,"15 Rue de l'Aguyane
-
ZAC du Moulon
-
07200 Aubenas",https://www.intermarche.com/magasins/01055/aubenas-07200/infos-pratiques,44.616037,4.406658
40,Super Bourg Saint-Andeol,"Avenue du Maréchal Leclerc
-
07700 Bourg Saint-Andeol",https://www.intermarche.com/magasins/01327/bourg-saint-andeol-07700/infos-pratiques,44.3804,4.641863
41,Super Lalevade D'ardeche,"100 Allée De Vals
-
07380 Lalevade D'ardeche",https://www.intermarche.com/magasins/10128/lalevade-d'ardeche-07380/infos-pratiques,44.650292,4.323367
42,Contact Lamastre,"Rue Ferdinand Herold
-
07270 Lamastre",https://www.intermarche.com/magasins/50339/lamastre-07270/infos-pratiques,44.984494,4.576582
43,Super La Voulte-sur-Rhone,"70 rue louis pasteur
-
ZI Jean Jaures
-
07800 La Voulte-sur-Rhone",https://www.intermarche.com/magasins/10198/la-voulte-sur-rhone-07800/infos-pratiques,44.807455,4.792905
44,Super Le Cheylard,"Allée des Vergers
-
ZI la Palisse
-
07160 Le Cheylard",https://www.intermarche.com/magasins/10146/le-cheylard-07160/infos-pratiques,44.91292,4.442328
45,Super Le Pouzin,"305 Rue René Cassin
-
Lieu Dit Quartier Mouillas
-
07250 Le Pouzin",https://www.intermarche.com/magasins/10219/le-pouzin-07250/infos-pratiques,44.745068,4.743932
46,Super Le Teil,"Chemin du Dépôt
-
Zac La Rotonde
-
07400 Le Teil",https://www.intermarche.com/magasins/10178/le-teil-07400/infos-pratiques,44.558017,4.689682
47,Super Privas,"Boulevard de Paste
-
07000 Privas",https://www.intermarche.com/magasins/10264/privas-07000/infos-pratiques,44.726453,4.596437
48,Super Rosières,"135 Les Vernades
-
07260 Rosières",https://www.intermarche.com/magasins/10165/rosieres-07260/infos-pratiques,44.482445,4.26644
49,Super Saint-Jean-de-Muzols,"6 Chemin de la Gare
-
07300 Saint-Jean-de-Muzols",https://www.intermarche.com/magasins/10335/saint-jean-de-muzols-07300/infos-pratiques,45.076144,4.814582
50,Contact Saint-Just-d'Ardèche,"505 Route de Bourg-Saint-Andéol
-
07700 Saint-Just-d'Ardèche",https://www.intermarche.com/magasins/06579/saint-just-d'ardeche-07700/infos-pratiques,44.308952,4.613394
51,Super Soyons,"Z.C les Freydières
-
Pont des Lônes
-
07130 Soyons",https://www.intermarche.com/magasins/10409/soyons-07130/infos-pratiques,44.917645,4.862062
52,Super Vallon Pont D'arc,"86 Route De Ruoms
-
07150 Vallon Pont D'arc",https://www.intermarche.com/magasins/10162/vallon-pont-d'arc-07150/infos-pratiques,44.421823,4.3682
53,Super Vernoux-en-Vivarais,"12 Place du 13 Avril 1944
-
07240 Vernoux-en-Vivarais",https://www.intermarche.com/magasins/10107/vernoux-en-vivarais-07240/infos-pratiques,44.897976,4.647718
54,Super Villeneuve De Berg,"692 Route Du Teil
-
07170 Villeneuve De Berg",https://www.intermarche.com/magasins/50196/villeneuve-de-berg-07170/infos-pratiques,44.57053,4.510682
55,Super Aurillac,"66 rue de Firminy
-
15000 Aurillac",https://www.intermarche.com/magasins/11109/aurillac-15000/infos-pratiques,44.915812,2.432122
56,Super Aurillac,"120 avenue du Général Leclerc
-
15000 Aurillac",https://www.intermarche.com/magasins/11124/aurillac-15000/infos-pratiques,44.909185,2.445669
57,Super Massiac,"Pré Chambon
-
15500 Massiac",https://www.intermarche.com/magasins/50375/massiac-15500/infos-pratiques,45.26209,3.198714
58,Super Mauriac,"Avenue de la Gare
-
15200 Mauriac",https://www.intermarche.com/magasins/11381/mauriac-15200/infos-pratiques,45.222035,2.341429
59,Super Murat,"Chemin La Croix Jolie
-
15300 Murat",https://www.intermarche.com/magasins/11254/murat-15300/infos-pratiques,45.106046,2.862883
60,Contact Riom-ès-Montagnes,"Rue des Frères Rodde
-
15400 Riom-ès-Montagnes",https://www.intermarche.com/magasins/03386/riom-es-montagnes-15400/infos-pratiques,45.284399,2.653252
61,Super Saint-Étienne-de-Maurs,"8 Avenue d'Aurillac
-
15600 Saint-Étienne-de-Maurs",https://www.intermarche.com/magasins/11205/saint-etienne-de-maurs-15600/infos-pratiques,44.714652,2.202533
62,Super Saint-Flour,"6 avenue Léon Bélard
-
15100 Saint-Flour",https://www.intermarche.com/magasins/11123/saint-flour-15100/infos-pratiques,45.037967,3.088173
63,Super Vic Sur Cere,"Za De Comblat
-
15800 Vic Sur Cere",https://www.intermarche.com/magasins/03385/vic-sur-cere-15800/infos-pratiques,44.966255,2.606635
64,Contact Anneyron,"2 Route d'Épinouze
-
Route de Sorlin
-
26140 Anneyron",https://www.intermarche.com/magasins/50220/anneyron-26140/infos-pratiques,45.273497,4.89715
65,Super Bourg-Les-Valence,"Place de l'Allet
-
26500 Bourg-Les-Valence",https://www.intermarche.com/magasins/10205/bourg-les-valence-26500/infos-pratiques,44.959082,4.907268
66,Hyper Crest,"Quartier Mivoie
-
Cd 93
-
26400 Crest",https://www.intermarche.com/magasins/10434/crest-26400/infos-pratiques,44.722078,5.037382
67,Super Die,"84 Avenue De La Résistance
-
26150 Die",https://www.intermarche.com/magasins/10153/die-26150/infos-pratiques,44.760775,5.358388
68,Super Etoile-sur-Rhône,"280 rue Mont Briand
-
Centre commercial Les Basseaux
-
26800 Etoile-sur-Rhône",https://www.intermarche.com/magasins/10149/etoile-sur-rhone-26800/infos-pratiques,44.851663,4.870387
69,Contact Genissieux,"60 Impasse Elsa Triolet
-
26750 Genissieux",https://www.intermarche.com/magasins/07514/genissieux-26750/infos-pratiques,45.081013,5.086251
70,Super Grignan,"900 route de Montélimar
-
ZA plaine de Bouveyri
-
26230 Grignan",https://www.intermarche.com/magasins/06547/grignan-26230/infos-pratiques,44.420528,4.891247
71,Contact Hauterives,"6 Route de Romans
-
26390 Hauterives",https://www.intermarche.com/magasins/50277/hauterives-26390/infos-pratiques,45.251696,5.026835
72,Hyper Loriol-sur-Drôme,"Parc des Crozes
-
26270 Loriol-sur-Drôme",https://www.intermarche.com/magasins/10273/loriol-sur-drome-26270/infos-pratiques,44.758672,4.837053
73,Super Montélier,"1 À 5 Allee Venturi
-
Za Les Petits Champs
-
26120 Montélier",https://www.intermarche.com/magasins/10291/montelier-26120/infos-pratiques,44.929025,5.021685
74,Super Montelimar,"25 rue Paul Loubet
-
26200 Montelimar",https://www.intermarche.com/magasins/10233/montelimar-26200/infos-pratiques,44.56424,4.747643
75,Super Nyons,"31 Avenue de Venterol
-
26110 Nyons",https://www.intermarche.com/magasins/10155/nyons-26110/infos-pratiques,44.359755,5.129781
76,Super Saint Jean En Royans,"Za De La Roue
-
26190 Saint Jean En Royans",https://www.intermarche.com/magasins/10433/saint-jean-en-royans-26190/infos-pratiques,45.026397,5.288951
77,Super Saint-Paul-Trois-Châteaux,"Chemin des Gonsards
-
Rond point de l'Europe
-
26130 Saint-Paul-Trois-Châteaux",https://www.intermarche.com/magasins/10403/saint-paul-trois-chateaux-26130/infos-pratiques,44.345604,4.754763
78,Super Saint Vallier,"1 Chemin De La Brassière
-
Zone Interval
-
26240 Saint Vallier",https://www.intermarche.com/magasins/10570/saint-vallier-26240/infos-pratiques,45.171115,4.813512
79,Hyper Tain-l'Hermitage,"450 Avenue des Lots
-
Za Les Lots
-
26600 Tain-l'Hermitage",https://www.intermarche.com/magasins/10235/tain-l'hermitage-26600/infos-pratiques,45.068732,4.865495
80,Contact Tulette,"Lieu dit le Peyron
-
Route d'orange
-
26790 Tulette",https://www.intermarche.com/magasins/07676/tulette-26790/infos-pratiques,44.279375,4.920598
81,Super Valence,"362 rue Faventines
-
26000 Valence",https://www.intermarche.com/magasins/10101/valence-26000/infos-pratiques,44.912254,4.914538
82,Super Chadrac-Le-Puy,"17 avenue des Champs Elysées
-
43770 Chadrac-Le-Puy",https://www.intermarche.com/magasins/10192/chadrac-le-puy-43770/infos-pratiques,45.053901,3.89889
83,Super Cohade,"Flageac
-
43100 Cohade",https://www.intermarche.com/magasins/06867/cohade-43100/infos-pratiques,45.321996,3.371538
84,Super Le Chambon-sur-Lignon,"Route de Saint-Agrève
-
Lieu-dit Le Pont de la Dame
-
43400 Le Chambon-sur-Lignon",https://www.intermarche.com/magasins/10133/le-chambon-sur-lignon-43400/infos-pratiques,45.05619,4.31473
85,Contact Le Monastier-sur-Gazeille,"Avenue du Puy
-
43150 Le Monastier-sur-Gazeille",https://www.intermarche.com/magasins/50231/le-monastier-sur-gazeille-43150/infos-pratiques,44.948733,3.986846
86,Super Monistrol-sur-Loire,"Par Route Nationale 88 suivre bas en basset
-
41E rue des Moletons
-
43120 Monistrol-sur-Loire",https://www.intermarche.com/magasins/10437/monistrol-sur-loire-43120/infos-pratiques,45.284519,4.158937
87,Contact Paulhaguet,"11 avenue de la Gare
-
43230 Paulhaguet",https://www.intermarche.com/magasins/05265/paulhaguet-43230/infos-pratiques,45.208859,3.507329
88,Contact Retournac,"Rue Jean Baptiste Ribeyron
-
43130 Retournac",https://www.intermarche.com/magasins/05355/retournac-43130/infos-pratiques,45.211008,4.029656
89,Super Sainte-Sigolène,"Zone commerciale de Chanibeau
-
43600 Sainte-Sigolène",https://www.intermarche.com/magasins/10139/sainte-sigolene-43600/infos-pratiques,45.249347,4.216164
90,Contact Saint-Julien-Chapteuil,"Route du Puy-En-Velay
-
43260 Saint-Julien-Chapteuil",https://www.intermarche.com/magasins/06765/saint-julien-chapteuil-43260/infos-pratiques,45.036601,4.056192
91,Super Saint-Paulien,"Rue du Docteur Chabanet
-
43350 Saint-Paulien",https://www.intermarche.com/magasins/10164/saint-paulien-43350/infos-pratiques,45.132172,3.814563
92,Hyper Vals-près-le-Puy,"Avenue Jeanne d'Arc
-
43750 Vals-près-le-Puy",https://www.intermarche.com/magasins/10735/vals-pres-le-puy-43750/infos-pratiques,45.027186,3.879794
93,Contact Vorey,"Avenue Philibert Besson
-
Route Du Puy
-
43800 Vorey",https://www.intermarche.com/magasins/01536/vorey-43800/infos-pratiques,45.181447,3.915381
94,Super Yssingeaux,"195 Route de Retournac
-
43200 Yssingeaux",https://www.intermarche.com/magasins/10399/yssingeaux-43200/infos-pratiques,45.143967,4.115831
95,Super Allinges,"157 Route des Blaves
-
74200 Allinges",https://www.intermarche.com/magasins/06682/allinges-74200/infos-pratiques,46.33538,6.48265
96,Super Amancy,"65 impasse des Champs
-
74800 Amancy",https://www.intermarche.com/magasins/10900/amancy-74800/infos-pratiques,46.071787,6.32495
97,Super Annecy,"4 rue du Travail
-
74000 Annecy",https://www.intermarche.com/magasins/10875/annecy-74000/infos-pratiques,45.894922,6.119964
98,Contact Bonneville,"516 Avenue de Geneve
-
74130 Bonneville",https://www.intermarche.com/magasins/08170/bonneville-74130/infos-pratiques,46.083398,6.403003
