index,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive,lien_coord
1,Leclerc,01,Leclerc Beynost,Leclerc_Beynost, 01700 Saint-Maurice-de-Beynost , Chemin des combes 01700 Saint-Maurice-de-Beynost ,45.821674,4.990454,https://fd2-courses.leclercdrive.fr/magasin-010101-010101-beynost.aspx,http://maps.google.fr/maps?q=45.821674,4.990454
2,Leclerc,01,Leclerc Les Echets  Miribel,Leclerc_Les_Echets__Miribel, 01700 Miribel , 300 route de Strasbourg 01700 Miribel ,45.8658837,4.9128858,https://fd7-courses.leclercdrive.fr/magasin-166902-166902-les-echets-miribel.aspx,http://maps.google.fr/maps?q=45.8658837,4.9128858
3,Leclerc,69,Leclerc Arnas,Leclerc_Arnas, 69400 Arnas , Avenue de Joux 69400 Arnas ,46.014541,4.725816,https://fd8-courses.leclercdrive.fr/magasin-266901-266901-arnas.aspx,http://maps.google.fr/maps?q=46.014541,4.725816
4,Leclerc,71,Leclerc Chalon-sur-Saône,Leclerc_Chalon-sur-Saône, 71100 Chalon-sur-Saône , 9 rue Paul Sabatier 71100 Chalon-sur-Saône ,46.815619,4.856559,https://fd6-courses.leclercdrive.fr/magasin-047102-047102-chalon-sur-saone.aspx,http://maps.google.fr/maps?q=46.815619,4.856559
5,Leclerc,69,Leclerc Civrieux d'Azergues,Leclerc_Civrieux_d'Azergues, 69380 Civrieux d'Azergues , 3 chemin des prés secs 69380 Civrieux d'Azergues ,45.855826,4.703141,https://fd11-courses.leclercdrive.fr/magasin-216901-216901-civrieux-dazergues.aspx,http://maps.google.fr/maps?q=45.855826,4.703141
6,Leclerc,74,Leclerc Cran-Gevrier,Leclerc_Cran-Gevrier, 74960 CRAN-GEVRIER , 60 Route des Creuses 74960 CRAN-GEVRIER ,45.8928619,6.0921288,https://fd2-courses.leclercdrive.fr/magasin-017402-017402-cran-gevrier.aspx,http://maps.google.fr/maps?q=45.8928619,6.0921288
7,Leclerc,74,Leclerc Cranves-Sales,Leclerc_Cranves-Sales, 74380 Cranves-Sales , 292 route de Taninges 74380 Cranves-Sales ,46.18278,6.28139,https://fd2-courses.leclercdrive.fr/magasin-027402-027402-cranves-sales.aspx,http://maps.google.fr/maps?q=46.18278,6.28139
8,Leclerc,39,Leclerc Dole,Leclerc_Dole, 39100 Dôle , Rue du Général Bethouart 39100 Dôle ,47.083263,5.490955,https://fd11-courses.leclercdrive.fr/magasin-023901-023901-dole.aspx,http://maps.google.fr/maps?q=47.083263,5.490955
9,Leclerc,71,Leclerc Mâcon,Leclerc_Mâcon, 71000 Mâcon , 26-28 rue de la République 71000 Mâcon ,46.2987278,4.8286722,https://fd13-courses.leclercdrive.fr/magasin-027101-027101-macon.aspx,http://maps.google.fr/maps?q=46.2987278,4.8286722
10,Leclerc,38,Leclerc Pont-de-Beauvoisin,Leclerc_Pont-de-Beauvoisin, 38480 Pont-de-Beauvoisin , 200 chemin de Clermont 38480 Pont-de-Beauvoisin ,45.537163,5.646031,https://fd14-courses.leclercdrive.fr/magasin-123801-123801-pont-de-beauvoisin.aspx,http://maps.google.fr/maps?q=45.537163,5.646031
